"filename", "language", "JavaScript", "JSON with Comments", "JSON", "TypeScript", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\.eslintrc.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\.prettierrc", "JSON", 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\nest-cli.json", "JSON", 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\package.json", "JSON", 0, 0, 104, 0, 0, 0, 0, 1, 105
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 6844, 0, 2030, 8874
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\app.module.ts", "TypeScript", 0, 0, 0, 47, 0, 0, 0, 2, 49
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\common\contexts\authenticated.context.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\common\database\database.module.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\common\database\database.service.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\common\decorators\index.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\common\decorators\is-field-unique.decorator.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 6, 45
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\common\decorators\message.decorator.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 2, 4
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\common\decorators\paginate.decorator.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 0, 12, 67
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\common\decorators\types\pagination.interface.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\common\decorators\user.decorator.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\common\guards\authenticated.guard.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 7, 30
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\common\guards\base.guard.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\common\guards\index.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\common\guards\local-auth.guard.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\common\interfaces\payload.interface.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\config\config.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 3, 25
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\core\filters\http-exception.filter.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 5, 30
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\core\interceptors\logging.interceptor.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 11, 56
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\core\interceptors\transform.interceptor.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 5, 32
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\core\pipes\validation.pipe.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 6, 38
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\core\repositories\base.repository.ts", "TypeScript", 0, 0, 0, 62, 0, 0, 0, 14, 76
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\core\repositories\types\query.types.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 7, 26
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\auth.module.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 2, 40
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\controllers\auth.controller.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 5, 46
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\controllers\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\cqrs\index.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\cqrs\login\command\login-user.command.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\cqrs\login\handler\login-user.handler.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 1, 9, 45
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\cqrs\register\command\register-user.command.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\cqrs\register\handler\register-user.handler.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 7, 44
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\cqrs\verify-account\command\verify-account.command.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\cqrs\verify-account\handler\verify-account.handler.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\dto\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\dto\login.dto.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\dto\register.dto.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 5, 29
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\profiles\auth.profile.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 2, 4, 21
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\serializer\constants.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\serializer\session.d.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\serializer\session.serializer.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 2, 5, 27
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\strategies\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\strategies\local.strategy.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 6, 33
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\otp\controllers\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\otp\controllers\otp.controller.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 4, 29
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\otp\cqrs\generate-otp\command\generate-otp.command.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\otp\cqrs\generate-otp\handler\generate-otp.handler.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 8, 41
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\otp\cqrs\index.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\otp\cqrs\verify-otp\command\verify-otp.command.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\otp\cqrs\verify-otp\handler\verify-otp.handler.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 5, 27
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\otp\dto\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\otp\dto\otp.dto.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 3, 11
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\otp\dto\send-otp.dto.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\otp\otp.module.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 2, 22
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\otp\repositories\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\otp\repositories\otp.repository.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 4, 23
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\otp\schemas\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\otp\schemas\otp.schema.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 6, 39
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\routes.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 2, 19
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\controllers\follow.controller.ts", "TypeScript", 0, 0, 0, 69, 0, 0, 0, 7, 76
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\controllers\index.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\controllers\photo.controller.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 4, 48
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\controllers\post.controller.ts", "TypeScript", 0, 0, 0, 85, 0, 0, 1, 7, 93
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\controllers\user.controller.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 0, 4, 52
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\account\command\accept-friend-request.command.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\account\command\send-friend-request.command.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\account\command\update-email.command.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\account\command\update-profile.command.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\account\handler\accept-friend-request.handler.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 11, 45
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\account\handler\send-friend-request.handler.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 8, 44
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\account\handler\update-email.handler.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 3, 27
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\account\handler\update-profile.handler.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 3, 23
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\all-handlers.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 2, 31
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\follow\command\fetch-followers.command.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\follow\command\follow.command.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\follow\command\unfollow.command.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\follow\handler\fetch-followers.handler.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 8, 38
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\follow\handler\follow.handler.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 8, 33
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\follow\handler\unfollow.handler.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 4, 19
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\index.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 1, 18
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\photo\command\upload-photo.command.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\photo\handler\upload-photo.handler.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 5, 27
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\tweets\command\create-tweet.command.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\tweets\command\delete-tweet.command.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\tweets\command\fetch-tweets.command.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\tweets\command\like-tweet.command.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\tweets\command\unlike-tweet.command.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\tweets\handler\create-tweet.handler.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 10, 42
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\tweets\handler\delete-tweet.handler.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 10, 40
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\tweets\handler\fetch-tweets.handler.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 10, 47
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\tweets\handler\like-tweet.handler.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 8, 29
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\cqrs\tweets\handler\unlike-tweet.handler.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 8, 29
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\dto\create-post.dto.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\dto\delete-post.dto.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\dto\index.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\dto\update-email.dto.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 3, 15
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\dto\update-profile.dto.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 5, 30
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\enum\friend-request.status.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\pipes\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\pipes\photo.pipe.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\pipes\tweet.pipe.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 2, 13
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\repositories\friend-request.repository.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\repositories\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\repositories\post.repository.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\repositories\user.repository.ts", "TypeScript", 0, 0, 0, 66, 0, 0, 0, 13, 79
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\schemas\friend-request.schema.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 7, 43
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\schemas\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\schemas\post.schema.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 7, 39
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\schemas\user.schema.ts", "TypeScript", 0, 0, 0, 143, 0, 0, 8, 26, 177
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\user.module.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 2, 29
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\validators\file-type.validator.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 6, 26
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\validators\interfaces\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\user\validators\interfaces\upload-validator-options.interface.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\main.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 5, 21
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\modules\bull\bull.module.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\modules\bull\bull.service.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 3, 18
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\modules\cloudinary\cloudinary.module.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\modules\cloudinary\constants.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 1, 2, 4
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\modules\cloudinary\services\cloudinary-config.service.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 2, 16
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\modules\cloudinary\services\cloudinary.service.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 4, 29
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\modules\email\email.module.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\modules\email\services\email-config.service.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 4, 35
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\modules\email\services\email.service.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 2, 8, 46
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\modules\email\services\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\modules\email\types\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\modules\email\types\registered-user.job.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 2, 4
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\modules\email\types\update-email.job.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 2, 4
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\modules\throttler\throttler-config.service.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\modules\throttler\throttler.module.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\setup-app.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 9, 59
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\setup-swagger.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 5, 20
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\tsconfig.build.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\tsconfig.json", "JSON with Comments", 0, 23, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 27, 23, 126, 2394, 1, 6844, 17, 2534, 11966